frame,state,mask_area,cx,cy,chamfer_px,closure_score
000302,static_on_table,233,431.3,209.2,1.02,0.059
000303,static_on_table,234,431.2,209.1,1.02,0.060
000304,static_on_table,192,431.0,210.4,1.23,0.065
000305,static_on_table,193,431.0,210.4,1.25,0.072
000306,static_on_table,185,431.1,211.0,1.11,0.079
000307,static_on_table,141,430.7,211.7,1.89,0.089
000308,static_on_table,141,430.7,211.7,1.06,0.109
000309,static_on_table,107,429.6,211.5,1.71,0.129
000310,static_on_table,105,429.6,211.6,1.64,0.145
000311,static_on_table,81,428.8,211.4,1.46,0.162
000312,static_on_table,87,430.0,212.7,1.25,0.175
000313,static_on_table,72,428.4,214.0,1.78,0.183
000314,static_on_table,76,428.4,213.9,1.81,0.193
000315,static_on_table,59,428.8,213.4,1.23,0.208
000316,static_on_table,38,428.4,212.3,1.20,0.219
000317,static_on_table,31,427.9,213.1,1.20,0.231
000318,static_on_table,31,427.3,213.2,1.34,0.243
000319,static_on_table,30,427.3,213.3,1.18,0.251
000320,static_on_table,28,426.5,214.0,1.64,0.261
000321,static_on_table,28,426.6,213.9,0.98,0.269
000322,static_on_table,0,,,,0.276
000323,static_on_table,0,,,,0.282
000324,static_on_table,0,,,,0.286
000325,static_on_table,0,,,,0.290
000326,static_on_table,0,,,,0.293
000327,static_on_table,0,,,,0.296
000328,static_on_table,0,,,,0.297
000329,static_on_table,0,,,,0.298
000330,static_on_table,0,,,,0.299
000331,static_on_table,0,,,,0.299
000332,static_on_table,0,,,,0.299
000333,static_on_table,0,,,,0.298
000334,static_on_table,0,,,,0.297
000335,static_on_table,0,,,,0.294
000336,static_on_table,0,,,,0.290
000337,static_on_table,0,,,,0.288
000338,static_on_table,0,,,,0.285
000339,static_on_table,0,,,,0.283
000340,static_on_table,0,,,,0.283
000341,static_on_table,0,,,,0.292
000342,static_on_table,0,,,,0.297
000343,static_on_table,0,,,,0.327
000344,static_on_table,0,,,,0.354
000345,static_on_table,0,,,,0.415
000346,static_on_table,0,,,,0.497
000347,static_on_table,0,,,,0.574
000348,static_on_table,0,,,,0.625
000349,static_on_table,0,,,,0.732
000350,static_on_table,0,,,,0.811
000351,static_on_table,0,,,,0.889
000352,static_on_table,0,,,,0.943
000353,static_on_table,0,,,,1.042
000354,static_on_table,0,,,,1.134
000355,static_on_table,0,,,,1.209
000356,static_on_table,0,,,,1.268
000357,static_on_table,0,,,,1.319
000358,static_on_table,0,,,,1.368
000359,static_on_table,0,,,,1.389
000360,static_on_table,0,,,,1.401
000361,static_on_table,0,,,,1.411
000362,static_on_table,0,,,,1.418
000363,static_on_table,0,,,,1.422
000364,static_on_table,0,,,,1.425
000365,static_on_table,0,,,,1.428
000366,static_on_table,0,,,,1.430
000367,static_on_table,0,,,,1.430
000368,static_on_table,0,,,,1.430
000369,static_on_table,0,,,,1.430
000370,static_on_table,0,,,,1.429
000371,static_on_table,0,,,,1.428
000372,static_on_table,0,,,,1.428
000373,static_on_table,0,,,,1.428
000374,static_on_table,0,,,,1.427
000375,static_on_table,0,,,,1.427
000376,static_on_table,0,,,,1.427
000377,static_on_table,0,,,,1.427
000378,static_on_table,0,,,,1.426
000379,static_on_table,0,,,,1.426
000380,static_on_table,0,,,,1.426
000381,static_on_table,0,,,,1.426
000382,static_on_table,0,,,,1.426
000383,static_on_table,0,,,,1.426
000384,static_on_table,0,,,,1.426
000385,static_on_table,0,,,,1.426
000386,static_on_table,0,,,,1.426
000387,static_on_table,0,,,,1.426
000388,static_on_table,0,,,,1.426
000389,static_on_table,0,,,,1.426
000390,static_on_table,1008,437.8,194.4,10.54,1.426
000391,static_on_table,994,438.6,195.3,11.41,1.425
000392,static_on_table,1016,438.5,196.3,12.02,1.426
000393,static_on_table,1040,438.3,196.7,12.18,1.426
000394,static_on_table,1063,438.3,197.7,1.85,1.426
000395,static_on_table,1061,438.3,197.6,1.24,1.425
000396,static_on_table,1100,438.3,198.8,0.91,1.425
000397,static_on_table,1110,438.1,199.4,1.41,1.425
000398,static_on_table,1152,437.8,200.1,1.76,1.425
000399,static_on_table,1135,437.9,200.1,1.75,1.426
